n_adjacent_clusters,mean_se,MDE,note
7,0.06328809441730918,0.17962336155086875,actual
10,0.031784994453738454,0.09022994358285426,simulated (avg of 30)
15,0.029472512410140487,0.08366536404096081,simulated (avg of 30)
20,0.026982829438441044,0.07659775374445463,simulated (avg of 30)
25,0.02614841226264068,0.0742290443584388,simulated (avg of 30)
30,0.025712257247487855,0.07299090532185987,simulated (avg of 30)
